Rating,Size,hourly,employer_provided,same_state,age,python_yn,R_yn,spark,aws,excel,desc_len,num_comp,is_senior,Revenue_Category,Latitude,Longitude,HQ_Latitude,HQ_Longitude,Log_Population,Log_HQ_Population,job_title_analyst,job_title_data engineer,job_title_data scientist,job_title_director,job_title_manager,job_title_mle,Sector_-1,Sector_Accounting & Legal,Sector_Aerospace & Defense,Sector_Agriculture & Forestry,"Sector_Arts, Entertainment & Recreation",Sector_Biotech & Pharmaceuticals,Sector_Business Services,"Sector_Construction, Repair & Maintenance",Sector_Consumer Services,Sector_Education,Sector_Finance,Sector_Government,Sector_Health Care,Sector_Information Technology,Sector_Insurance,Sector_Manufacturing,Sector_Media,Sector_Mining & Metals,Sector_Non-Profit,"Sector_Oil, Gas, Energy & Utilities",Sector_Real Estate,Sector_Retail,Sector_Telecommunications,Sector_Transportation & Logistics,Sector_Travel & Tourism,Ownership_-1,Ownership_College / University,Ownership_Company - Private,Ownership_Company - Public,Ownership_Government,Ownership_Hospital,Ownership_Nonprofit Organization,Ownership_Other Organization,Ownership_School / School District,Ownership_Subsidiary or Business Segment,Ownership_Unknown
0.7999999999999999,0.7499999999999999,0.0,0.0,0.0,0.1732851985559566,1.0,0.0,0.0,0.0,1.0,0.2207590211530485,0.0,0.0,0.25,0.7884346463287019,0.10992498438340192,0.6262589670031541,0.012797042090982091,0.7098740812450601,0.40340680054469025,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7333333333333333,0.9999999999999999,0.0,0.0,0.0,0.1335740072202166,1.0,0.0,0.0,0.0,0.0,0.4537536291995023,0.0,0.0,0.75,0.8338055502393567,0.3082548883488132,0.7225180752943491,0.1798699734607095,0.5727949685883713,0.7115706057690738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9666666666666666,0.7499999999999999,0.0,0.0,1.0,0.03971119133574,1.0,0.0,1.0,0.0,1.0,0.3166735794276234,0.0,0.0,0.25,0.7059654941042663,0.26770062088241975,0.49836386224928986,0.1559617364402946,0.541370163056315,0.541370163056315,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7999999999999999,0.9247425010840047,0.0,0.0,1.0,0.2021660649819494,1.0,0.0,0.0,0.0,0.0,0.3604313562836997,0.75,0.0,0.5,0.9181714668276184,0.026377359021053204,0.8603968292314805,0.01493299382703367,0.474486464634289,0.474486464634289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6499999999999999,0.5752574989159952,0.0,0.0,1.0,0.0830324909747292,1.0,0.0,0.0,0.0,1.0,0.2406677727084197,0.75,0.0,0.5,0.8538502559169067,0.32595564100112573,0.7506619404013242,0.19000583220993894,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7333333333333333,0.6747425010840046,0.0,0.0,1.0,0.075812274368231,1.0,0.0,0.0,1.0,1.0,0.3463293239319784,0.75,0.0,0.75,0.7616994402714135,0.17502035518783565,0.5934484898569345,0.10179960869863158,0.8001862044007746,0.8001862044007746,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.8499999999999999,0.7499999999999999,0.0,0.0,1.0,0.0469314079422382,0.0,0.0,0.0,0.0,1.0,0.1429904603898797,0.0,0.0,0.5,0.8373537022438975,0.3086115276678758,0.7225180752943491,0.1798699734607095,0.7115706057690738,0.7115706057690738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7999999999999999,0.6747425010840046,0.0,0.0,0.0,0.0577617328519855,1.0,0.0,1.0,1.0,1.0,0.3522397345499792,0.0,0.0,0.25,0.49701847219003675,0.2592354705484202,0.8865571535600314,0.003121576909028867,0.7688790031914599,0.7409816612979747,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7166666666666666,0.9999999999999999,0.0,0.0,1.0,0.0252707581227436,0.0,0.0,0.0,0.0,0.0,0.1172749896308585,0.0,0.0,0.5,0.8816664078839089,0.3019143566502336,0.7981175510865607,0.17595616258148045,0.6038993894544047,0.6038993894544047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9333333333333332,0.5752574989159952,0.0,0.0,1.0,0.0433212996389891,1.0,0.0,1.0,0.0,0.0,0.4320821236001659,0.5,0.0,0.25,0.8538502559169067,0.32595564100112573,0.7506619404013242,0.19000583220993894,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7499999999999999,0.7499999999999999,0.0,0.0,0.0,0.0361010830324909,1.0,0.0,0.0,0.0,0.0,0.2436748237245956,0.0,0.0,0.75,0.49701847219003675,0.2592354705484202,0.6923455303755622,0.0027742006025172072,0.7688790031914599,0.7491548013339722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.8499999999999999,0.9999999999999999,0.0,0.0,0.0,0.1913357400722021,0.0,0.0,0.0,0.0,0.0,0.3196806304437992,0.0,0.0,0.75,0.9319921641268814,0.8175513578853636,0.6966415130959807,0.13766160277790002,0.548862330915497,0.3717818843913687,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.7,0.9999999999999999,0.0,0.0,0.0,0.2129963898916967,0.0,0.0,0.0,0.0,0.0,0.3657196184155952,0.75,0.0,1.0,0.765096204753714,0.17489792059987952,0.6645490500113853,0.11185064232389941,0.6387649905354158,0.4656572097904188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
