,avg_salary
532,81.0
533,27.5
534,99.5
535,45.5
536,54.0
537,122.5
538,37.5
539,53.5
540,140.0
541,77.5
542,26.5
543,117.5
544,70.5
545,70.0
546,61.5
547,80.0
548,79.5
549,168.0
550,90.0
551,120.0
552,138.5
553,111.5
554,68.5
555,84.5
556,102.5
557,73.5
558,93.5
559,127.5
560,72.0
561,129.5
562,47.0
563,65.0
564,60.0
565,167.5
566,65.0
567,94.0
568,87.5
569,97.0
570,112.5
571,91.5
572,51.5
573,114.5
574,115.0
575,74.0
576,51.0
577,100.0
578,121.0
579,121.5
580,62.5
581,117.5
582,122.0
583,85.0
584,60.5
585,180.0
586,70.5
587,118.5
588,66.5
589,107.5
590,138.5
591,81.0
592,58.5
593,107.5
594,120.5
595,63.5
596,103.5
597,107.0
598,105.5
599,83.0
600,162.0
601,68.5
602,110.5
603,115.5
604,87.5
605,80.5
606,43.0
607,140.0
608,172.0
609,120.0
610,66.5
611,100.0
612,94.5
613,221.5
614,119.0
615,95.5
616,194.5
617,25.0
618,13.5
619,173.0
620,105.5
621,71.5
622,74.0
623,62.5
624,65.5
625,85.0
626,147.5
627,161.5
628,81.0
629,72.5
630,139.0
631,136.5
632,83.0
633,121.0
634,74.5
635,85.5
636,80.5
637,167.5
638,107.5
639,44.5
640,107.5
641,132.5
642,69.5
643,98.5
644,80.5
645,37.0
646,99.0
647,96.5
648,53.0
649,103.0
650,139.5
651,67.0
652,62.5
653,92.0
654,66.0
655,94.5
656,114.0
657,75.5
658,96.0
659,87.0
660,86.0
661,116.5
662,154.5
663,48.5
664,87.0
665,80.0
666,21.5
667,173.0
668,52.5
669,68.5
670,95.0
671,69.5
672,107.0
673,112.0
674,96.5
675,111.5
676,154.5
677,95.0
678,97.5
679,128.5
680,124.0
681,194.0
682,31.5
683,50.0
684,104.5
685,69.5
686,121.0
687,85.5
688,113.0
689,103.0
690,90.5
691,153.0
692,106.5
693,130.0
694,123.5
695,86.5
696,64.0
697,47.0
698,162.0
699,140.0
700,89.0
701,98.0
702,137.0
703,99.0
704,54.0
705,109.0
706,109.0
707,139.5
708,254.0
709,125.0
710,106.5
711,27.5
712,73.0
713,81.0
714,128.5
715,99.5
716,92.0
717,45.5
718,122.5
719,37.5
720,54.0
721,53.5
722,140.0
723,77.5
724,26.5
725,117.5
726,70.5
727,61.5
728,80.0
729,70.0
730,120.0
731,90.0
732,111.0
733,138.5
734,68.5
735,87.5
736,111.5
737,84.5
738,102.5
739,73.5
740,127.5
741,93.5
